"Name of Building/Facility","Address of Building/Facility - Street","Address of Building/Facility - District","Address of Building/Facility - Region","Location of Water Dispenser","Latitude","Longitude","Type of Water Dispenser","Number of Water Dispenser","Service Hours (From)","Service Hours (To)","Service Hours (Exception)","Water Temperature","Indoor/Outdoor","Remarks"
"Jordan Valley Park","No. 71, New Clear Water Bay Road, Kwun Tong, Kowloon","Kwun Tong","Kowloon","Near starting point of Jogging Track No.1 and next to Horticultural Education Centre",22.330474,114.221188,"Fountain type",1,"05:00","23:00",,"Ambient temperature","Outdoor",
"Jordan Valley Park","No. 71, New Clear Water Bay Road, Kwun Tong, Kowloon","Kwun Tong","Kowloon","Rear exit of Horticultural Education Centre towards Green House",22.330388,114.221019,"Fountain type",1,"05:00","23:00",,"Ambient temperature","Outdoor",
"Jordan Valley Park","No. 71, New Clear Water Bay Road, Kwun Tong, Kowloon","Kwun Tong","Kowloon","Inside Children's Play Area",22.329289,114.220971,"Fountain type",1,"05:00","23:00",,"Ambient temperature","Outdoor",
"Jordan Valley Park","No. 71, New Clear Water Bay Road, Kwun Tong, Kowloon","Kwun Tong","Kowloon","Near entrance of Maze Garden",22.329262,114.220031,"Fountain type",1,"05:00","23:00",,"Ambient temperature","Outdoor",
"Jordan Valley Playground","Choi Ha Road, Ngau Tau Kok, Kowloon","Kwun Tong","Kowloon","Between tennis court 1 & 2.",22.324437,114.218112,"Fountain type",1,"00:00","24:00",,"Ambient temperature / Cold","Outdoor",
"Jordan Valley Playground","Choi Ha Road, Ngau Tau Kok, Kowloon","Kwun Tong","Kowloon","Between tennis court 3 & 4.",22.324799,114.218673,"Fountain type",1,"00:00","24:00",,"Ambient temperature / Cold","Outdoor",
"Jordan Valley Playground","Choi Ha Road, Ngau Tau Kok, Kowloon","Kwun Tong","Kowloon","Outside basketball court 1",22.323034,114.218283,"Fountain type",1,"05:00","23:30",,"Ambient temperature","Outdoor",
"Jordan Valley Playground","Choi Ha Road, Ngau Tau Kok, Kowloon","Kwun Tong","Kowloon","Outside basketball court 2",22.322845,114.218677,"Fountain type",1,"05:00","23:30",,"Ambient temperature","Outdoor",
"Jordan Valley Playground","Choi Ha Road, Ngau Tau Kok, Kowloon","Kwun Tong","Kowloon","The upper part of morning trail, phase II(Stage II)",22.323904,114.219631,"Fountain type",1,"05:00","23:30",,"Ambient temperature","Outdoor",
"Jordan Valley Playground","Choi Ha Road, Ngau Tau Kok, Kowloon","Kwun Tong","Kowloon","The lower part of morning trail, phase II(Stage II)",22.324657,114.219645,"Fountain type",1,"05:00","23:30",,"Ambient temperature","Outdoor",
"Jordan Valley Swimming Pool","6 Choi Ha Road, Ngau Tau Kok, Kowloon","Kwun Tong","Kowloon","Near Leisure Pool No.4",22.324091,114.218306,"Fountain type",1,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Ambient temperature","Outdoor","For use by venue / facility users"
"Jordan Valley Swimming Pool","6 Choi Ha Road, Ngau Tau Kok, Kowloon","Kwun Tong","Kowloon","Near Pool deck toilet",22.324011,114.219194,"Fountain type",1,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Ambient temperature","Outdoor","For use by venue / facility users"
"Kowloon Bay Park","No. 11 Kai Lai Road, Kowloon Bay ","Kwun Tong","Kowloon","Near 11-a-side Artificial Turf Soccer Pitch Spectator Stand No.1",22.327252,114.206934,"Fountain type",1,"07:00","23:00",,"Ambient temperature","Outdoor",
"Kowloon Bay Park","No. 11 Kai Lai Road, Kowloon Bay ","Kwun Tong","Kowloon","Near 11-a-side Artificial Turf Soccer Pitch Spectator Stand No.4",22.326339,114.207082,"Fountain type",1,"07:00","23:00",,"Ambient temperature","Outdoor",
"Kowloon Bay Park","No. 11 Kai Lai Road, Kowloon Bay ","Kwun Tong","Kowloon","Near Children's Playground",22.326837,114.207305,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Kowloon Bay Park","No. 11 Kai Lai Road, Kowloon Bay ","Kwun Tong","Kowloon","Near car park",22.327213,114.207415,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Kowloon Bay Park","No. 11 Kai Lai Road, Kowloon Bay ","Kwun Tong","Kowloon","Near Kai Lai Road 7-a-side Artificial Turf Soccer Pitch",22.327417,114.207871,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Kowloon Bay Park","No. 11 Kai Lai Road, Kowloon Bay ","Kwun Tong","Kowloon","Near Leisure Area at Cycling Ground ",22.327775,114.206341,"Fountain type",1,"07:00","23:00",,"Ambient temperature","Outdoor",
"Kowloon Bay Park","No. 11 Kai Lai Road, Kowloon Bay ","Kwun Tong","Kowloon","Near Toilet at Cycling Ground ",22.327622,114.206286,"Fountain type",1,"07:00","23:00",,"Ambient temperature","Outdoor",
"Kowloon Bay Playground","Kai Lok Street , Kowloon Bay","Kwun Tong","Kowloon","Next to Meter Room",22.326173,114.210891,"Fountain type",2,"00:00","24:00",,"Ambient temperature / Cold","Outdoor",
"Kowloon Bay Sports Centre","15 Kai Lok Street , Kowloon Bay","Kwun Tong","Kowloon","At lobby close to the Arena",22.3268,114.2115,"Fountain type",3,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Kowloon Bay Sports Ground","No. 1 Kai Lok Street, Kowloon Bay","Kwun Tong","Kowloon","Near Accessible Toilet",22.326704,114.210111,"Fountain type",1,"06:30","22:30","Maintenance Day","Ambient temperature","Outdoor",
"Kowloon Bay Sports Ground","No. 1 Kai Lok Street, Kowloon Bay","Kwun Tong","Kowloon","Near Ladies' Changing Room",22.326689,114.209892,"Fountain type",1,"06:30","22:30","Maintenance Day","Ambient temperature","Outdoor",
"Kowloon Bay Sports Ground","No. 1 Kai Lok Street, Kowloon Bay","Kwun Tong","Kowloon","Near Staff Room",22.326655,114.209557,"Fountain type",1,"06:30","22:30","Maintenance Day","Ambient temperature","Outdoor",
"Kowloon Bay Sports Ground","No. 1 Kai Lok Street, Kowloon Bay","Kwun Tong","Kowloon","Near Men's Changing Room",22.326645,114.209389,"Fountain type",1,"06:30","22:30","Maintenance Day","Ambient temperature","Outdoor",
"Kung Lok Road Playground","Kung Lok Road, Kwun Tong","Kwun Tong","Kowloon","Outside office",22.319621,114.218738,"Fountain type",1,"00:00","24:00",,"Cold","Outdoor",
"Kwun Tong Promenade","No.80 Hoi Bun Road, Kwun Tong","Kwun Tong","Kowloon","Pavement ",22.309762,114.219292,"Fountain type",4,"00:00","24:00",,"Ambient temperature","Outdoor",
"Kwun Tong Promenade","No. 80, Hoi Bun Road, Kwun Tong.","Kwun Tong","Kowloon","Inside Babycare Room",22.309762,114.219292,"Non-fountain type",1,"06:45","23:15",,"Hot / Cold","Indoor",
"Kwun Tong Recreation Ground","Tsui Ping Road, Kwun Tong","Kwun Tong","Kowloon","Near check-in counter",22.311438,114.229598,"Fountain type",2,"00:00","24:00",,"Ambient temperature","Outdoor",
"Kwun Tong Recreation Ground","Tsui Ping Road, Kwun Tong","Kwun Tong","Kowloon","Near elderly fitness area",22.311649,114.229559,"Fountain type",2,"00:00","24:00",,"Ambient temperature","Outdoor",
"Kwun Tong Recreation Ground","Tsui Ping Road, Kwun Tong","Kwun Tong","Kowloon","Near artificial turf football pitch",22.311925,114.229791,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Kwun Tong Recreation Ground","Tsui Ping Road, Kwun Tong","Kwun Tong","Kowloon","Near hard surface football pitch",22.311103,114.230567,"Fountain type",2,"06:30","23:00",,"Ambient temperature","Outdoor",
"Kwun Tong Recreation Ground","Tsui Ping Road, Kwun Tong","Kwun Tong","Kowloon","Near children's playground",22.310866,114.230985,"Fountain type",2,"00:00","24:00",,"Ambient temperature","Outdoor",
"Kwun Tong Recreation Ground","Tsui Ping Road, Kwun Tong","Kwun Tong","Kowloon","Near jogging trail",22.311136,114.231403,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Kwun Tong Recreation Ground","Tsui Ping Road, Kwun Tong","Kwun Tong","Kowloon","Near the entrance of roller skating rink",22.311293,114.231679,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Kwun Tong Swimming Pool","2 Tsui Ping Road, Kwun Tong, Kowloon","Kwun Tong","Kowloon","Near the office entrance lobby",22.3108827,114.2303856,"Fountain type",1,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Ambient temperature","Indoor","For use by venue / facility users"
"Kwun Tong Swimming Pool","2 Tsui Ping Road, Kwun Tong, Kowloon","Kwun Tong","Kowloon","Next to the main pool",22.3105673,114.2299021,"Fountain type",1,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Ambient temperature","Indoor","For use by venue / facility users"
"Kwun Tong Swimming Pool","2 Tsui Ping Road, Kwun Tong, Kowloon","Kwun Tong","Kowloon","Next to the training pool",22.310723,114.2306384,"Fountain type",1,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Ambient temperature","Indoor","For use by venue / facility users"
"Kwun Tong Swimming Pool","2 Tsui Ping Road, Kwun Tong, Kowloon","Kwun Tong","Kowloon","Next to the secondary pool",22.3106827,114.2294575,"Fountain type",1,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Ambient temperature","Outdoor","For use by venue / facility users"
"Kwun Tong Swimming Pool","2 Tsui Ping Road, Kwun Tong, Kowloon","Kwun Tong","Kowloon","Sun bathing Area",22.3112838,114.2295762,"Fountain type",1,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Ambient temperature","Outdoor","For use by venue / facility users"
"Kwun Tong Swimming Pool","2 Tsui Ping Road, Kwun Tong, Kowloon","Kwun Tong","Kowloon","Inside Babycare Room",22.310771,114.230032,"Non-fountain type",1,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Hot / Cold","Indoor","For use by venue / facility users"
"Laguna Park","Wai Fat Road, Lam Ting","Kwun Tong","Kowloon","near toilet",22.307169,114.226499,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Lam Tin Park","Pik Wan Road, Lam Tin","Kwun Tong","Kowloon","near mid-level toilet",22.310666,114.240532,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Lam Tin Service Reservoir Playground","Tak Tin Street, Lam Tin","Kwun Tong","Kowloon","Beside the soccer pitch No.1",22.309589,114.236893,"Fountain type",1,"00:00","24:00",,"Ambient temperature / Cold","Outdoor",
"Lam Tin Service Reservoir Playground","Tak Tin Street, Lam Tin","Kwun Tong","Kowloon","Beside the soccer pitch No.2",22.309221,114.235915,"Fountain type",1,"00:00","24:00",,"Ambient temperature / Cold","Outdoor",
"Lam Tin South Sports Centre","170 Pik Wan Road, Lam Tin","Kwun Tong","Kowloon","Near the accessible toilet on the G/F",22.304131,114.238767,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Lam Tin South Sports Centre","170 Pik Wan Road, Lam Tin","Kwun Tong","Kowloon","Near the accessible toilet on the G/F",22.304131,114.238767,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Lam Tin South Sports Centre","170 Pik Wan Road, Lam Tin","Kwun Tong","Kowloon","Near Men's Toilet on the 2/F",22.304131,114.238767,"Fountain type",2,"07:00","23:00","Maintenance Day","Ambient temperature / Cold","Indoor",
"Lam Tin Swimming Pool","1/F., Lam Tin Complex, 1 Hing Tin Street, Lam Tin, Kowloon","Kwun Tong","Kowloon","Pool deck area (near overhead shower bath and footbath)",22.310067,114.237405,"Fountain type",2,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Ambient temperature","Indoor","For use by venue / facility users"
"Lam Tin Swimming Pool","4/F., Lam Tin Complex, 1 Hing Tin Street, Lam Tin, Kowloon","Kwun Tong","Kowloon","Near the accessible toilet at 4/F of Lam Tin Complex (auxiliary children play area of Lam Tin Swimming Pool)",22.310067,114.237405,"Fountain type",1,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Ambient temperature","Outdoor","For use by venue / facility users"
"Lam Tin Swimming Pool","1/F., Lam Tin Complex, 1 Hing Tin Street, Lam Tin, Kowloon","Kwun Tong","Kowloon","Aisle outside family changing room",22.310067,114.237405,"Fountain type",1,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Ambient temperature","Indoor","For use by venue / facility users"
"Lei Yue Mun Road Playground","Junction of Ko Chiu Road & Lei Yue Mun Road, Yau Tong","Kwun Tong","Kowloon","Beside the toilets",22.300536,114.238664,"Fountain type",1,"00:00","24:00",,"Ambient temperature / Cold","Outdoor",
"Lei Yue Mun Sports Centre","No.6, Lei Yue Mun Path, Lei Yue Mun Municipal Services Building","Kwun Tong","Kowloon","Near Men's Toilet on the 2/F",22.29238,114.238675,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Lei Yue Mun Sports Centre","No.6, Lei Yue Mun Path, Lei Yue Mun Municipal Services Building","Kwun Tong","Kowloon","Near Men's Toilet on the 4/F",22.29238,114.238675,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Lok Wah Playground","Lok Wah South Estate, Ngau Tau Kok","Kwun Tong","Kowloon","Soccer pitch entrance",22.320463,114.217783,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Lok Wah Playground","Lok Wah South Estate, Ngau Tau Kok","Kwun Tong","Kowloon","Tai Chi area",22.320463,114.217783,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Lok Wah Playground","Lok Wah South Estate, Ngau Tau Kok","Kwun Tong","Kowloon","Basketball court",22.320463,114.217783,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Ngau Tau Kok Park","Lok Wah South Estate, Ngau Tau Kok","Kwun Tong","Kowloon","Children's play areas",22.323063,114.215,"Fountain type",2,"00:00","24:00",,"Cold","Outdoor",
"Ngau Tau Kok Park","Lok Wah South Estate, Ngau Tau Kok","Kwun Tong","Kowloon","Elderly fitness stations",22.323063,114.215,"Fountain type",1,"00:00","24:00",,"Cold","Outdoor",
"Ngau Tau Kok Park","Lok Wah South Estate, Ngau Tau Kok","Kwun Tong","Kowloon","Outside the Ladies' toilet",22.323063,114.215,"Fountain type",1,"00:00","24:00",,"Cold","Outdoor",
"Ngau Tau Kok Park","Lok Wah South Estate, Ngau Tau Kok","Kwun Tong","Kowloon","Outside the Men' s toilet",22.323063,114.215,"Fountain type",1,"00:00","24:00",,"Cold","Outdoor",
"Ngau Tau Kok Road Sports Centre","3/F-4/F, Ngau Tau Kok Municipal Services Building, 183 Ngau Tau Kok Road, Kowloon","Kwun Tong","Kowloon","Near accessible toilet",22.321631,114.216233,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature / Cold","Indoor",
"Ngau Tau Kok Road Sports Centre","3/F-4/F, Ngau Tau Kok Municipal Services Building, 183 Ngau Tau Kok Road, Kowloon","Kwun Tong","Kowloon","Near entrance of arena",22.321631,114.216233,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature / Cold","Indoor",
"Ping Shek Playground","20 New Clear Water Bay Road, Kowloon.","Kwun Tong","Kowloon","Near corridor at tennis court#2",22.195479,114.124564,"Fountain type",1,"06:00","23:30",,"Cold","Outdoor",
"Ping Shek Playground","20 New Clear Water Bay Road, Kowloon.","Kwun Tong","Kowloon","Next to the entrance of tennis court#3",22.195562,114.124566,"Fountain type",1,"06:00","23:30",,"Cold","Outdoor",
"Ping Shek Playground","20 New Clear Water Bay Road, Kowloon.","Kwun Tong","Kowloon","Near the toilet close to  Office",22.195487,114.12442,"Fountain type",1,"06:00","23:30",,"Cold","Outdoor",
"Ping Shek Playground","20 New Clear Water Bay Road, Kowloon.","Kwun Tong","Kowloon","Near the toilet close to basketball court",22.195898,114.124094,"Fountain type",1,"06:00","23:30",,"Cold","Outdoor",
"Ping Shek Playground","20 New Clear Water Bay Road, Kowloon.","Kwun Tong","Kowloon","Next to the roundabout of roadside",22.195656,114.124503,"Fountain type",1,"06:00","23:30",,"Cold","Outdoor",
"Ping Shek Playground","20 New Clear Water Bay Road, Kowloon.","Kwun Tong","Kowloon","Near the entrance of Sitting-out Area at soccer pitch",22.195665,114.124164,"Fountain type",1,"06:00","23:30",,"Cold","Outdoor",
